block,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,node17,node18,node19,node20,node21
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,118.2720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,118.2720,115.1096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,118.2720,115.1096,125.2292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,118.2720,115.1096,125.2292,112.5798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,118.2720,115.1096,125.2292,112.5798,117.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,0.0000,0.0000,0.0000,0.0000,0.0000
19,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,0.0000,0.0000,0.0000,0.0000
20,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,0.0000,0.0000,0.0000
21,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,0.0000,0.0000
22,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,0.0000
23,118.2720,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
24,270.0649,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
25,270.0649,245.3986,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
26,270.0649,245.3986,277.6546,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
27,270.0649,245.3986,277.6546,254.2532,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
28,270.0649,245.3986,277.6546,254.2532,234.6466,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
29,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
