block,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,node17,node18,node19,node20,node21
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.5976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.5976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.2551,0.0000,0.0000,0.0000
3,0.0000,0.0000,125.8616,0.0000,0.0000,0.0000,50.5976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.2551,0.0000,0.0000,0.0000
4,0.0000,0.0000,125.8616,0.0000,0.0000,0.0000,50.5976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.2551,0.0000,0.0000,124.5967
5,0.0000,0.0000,239.7064,0.0000,0.0000,0.0000,50.5976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.2551,0.0000,0.0000,124.5967
6,0.0000,0.0000,239.7064,0.0000,0.0000,0.0000,50.5976,0.0000,0.0000,118.9045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.2551,0.0000,0.0000,124.5967
7,0.0000,0.0000,239.7064,0.0000,0.0000,0.0000,50.5976,0.0000,0.0000,118.9045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.2551,0.0000,124.5967,124.5967
8,0.0000,0.0000,239.7064,0.0000,0.0000,0.0000,50.5976,0.0000,0.0000,118.9045,0.0000,124.5967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.2551,0.0000,124.5967,124.5967
9,0.0000,0.0000,239.7064,0.0000,0.0000,0.0000,50.5976,0.0000,0.0000,118.9045,0.0000,124.5967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.2551,117.6395,124.5967,124.5967
10,0.0000,0.0000,239.7064,0.0000,0.0000,0.0000,50.5976,0.0000,0.0000,118.9045,0.0000,124.5967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.2551,237.1765,124.5967,124.5967
11,0.0000,0.0000,239.7064,0.0000,122.0668,0.0000,50.5976,0.0000,0.0000,118.9045,0.0000,124.5967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.2551,237.1765,124.5967,124.5967
